level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,2.0,0.0,2.0,0.0,0.0,0.0,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,2.0,0.0,2.0,0.0,0.0,0.0,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099772,0.000227,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100423,7.2e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,1950.0,1950.0,0.0,1.0,1.100106,7.4e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099683,9e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099672,0.000431,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100433,8.8e-05,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.10025,0.000386,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,4.0,10.1.1.3,10.1.1.6,1952.0,1950.0,2.0,0.999,1.100145,0.000421,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1942.0,1942.0,0.0,1.0,1.095082,0.001239,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1948.0,2.0,0.999,1.099226,0.001814,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099626,7.8e-05,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100577,0.00011,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,2.0,0.0,2.0,0.0,0.0,0.0,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,2.0,0.0,2.0,0.0,0.0,0.0,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,30.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,6.0,10.1.1.5,10.1.1.6,2.0,0.0,2.0,0.0,0.0,0.0,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099754,0.000233,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100422,7.3e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,1950.0,1950.0,0.0,1.0,1.100102,8.8e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099681,0.0001,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099658,0.000441,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100354,0.000125,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,40.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100189,0.000528,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
