level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
aggregate,2.0,80211ax,tcp,30.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,103950.0,103380.0,570.0,0.9945,41.148608,0.038412,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_20m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,30.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,102087.0,101238.0,849.0,0.9917,40.510988,0.039198,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_20m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,30.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,75064.0,74885.0,179.0,0.9976,29.565985,0.008726,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,30.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,68578.0,68396.0,182.0,0.9973,26.986361,0.006219,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_30m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,30.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,74331.0,74175.0,156.0,0.9979,29.28502,0.008878,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_30m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,30.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,56306.0,56253.0,53.0,0.9991,22.142672,0.002137,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,30.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,58476.0,58410.0,66.0,0.9989,22.995614,0.002114,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_40m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,30.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,57754.0,57695.0,59.0,0.999,22.709276,0.00201,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_40m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,30.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,46822.0,46776.0,46.0,0.999,18.404128,0.000418,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_50m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,30.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,46819.0,46772.0,47.0,0.999,18.402886,0.000297,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_50m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
