level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps,jainFairness,throughputPerNodeMbps,lossRate,efficiency
aggregate,1,80211ax,30,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,19509,38963,0.3336,20.550384,9.6e-05,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_40m_seed1.csv,2.0,0.33333328015949854,0.6850128000000001,0.6664,0.34250640000000004
aggregate,2,80211ax,30,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,19510,38962,0.3337,20.551353,9.6e-05,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_40m_seed2.csv,2.0,0.3333333119966693,0.6850451,0.6663,0.34252255
aggregate,3,80211ax,30,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,19509,38963,0.3336,20.550308,9.7e-05,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_40m_seed3.csv,2.0,0.3333332801562657,0.6850102666666668,0.6664,0.3425051333333334
aggregate,1,80211ax,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,15612,42860,0.267,16.443367,6.3e-05,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_50m_seed1.csv,2.0,0.2666666539824218,0.5481122333333333,0.733,0.2740561166666666
aggregate,2,80211ax,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,15612,42860,0.267,16.443359,6.3e-05,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_50m_seed2.csv,2.0,0.26666665424305647,0.5481119666666667,0.733,0.27405598333333336
aggregate,3,80211ax,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,15614,42858,0.267,16.44545,6.3e-05,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_50m_seed3.csv,2.0,0.26666666663185784,0.5481816666666667,0.733,0.27409083333333334
aggregate,1,80211ax,30,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,57661,811,0.9861,61.214476,0.050244,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_5m_seed1.csv,2.0,0.9999359788004247,2.0404825333333334,0.013900000000000023,1.0202412666666667
aggregate,2,80211ax,30,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,57617,855,0.9854,61.182091,0.050535,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_5m_seed2.csv,2.0,0.9999530810703892,2.0394030333333335,0.014599999999999946,1.0197015166666668
aggregate,3,80211ax,30,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,57624,848,0.9855,61.138789,0.050265,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_5m_seed3.csv,2.0,0.9998717661791466,2.0379596333333336,0.014499999999999957,1.0189798166666668
aggregate,1,80211ax,5,10.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141932,8.7e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_10m_seed1.csv,1.0,1.0,1.0283864,0.0,1.0283864
aggregate,2,80211ax,5,10.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141931,8.5e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_10m_seed2.csv,1.0,1.0,1.0283862,0.0,1.0283862
aggregate,3,80211ax,5,10.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141931,9.2e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_10m_seed3.csv,1.0,1.0,1.0283862,0.0,1.0283862
aggregate,1,80211ax,5,20.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141929,8.7e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_20m_seed1.csv,1.0,1.0,1.0283858000000001,0.0,1.0283858000000001
aggregate,2,80211ax,5,20.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141909,8.6e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_20m_seed2.csv,1.0,0.9999999999332808,1.0283818,0.0,1.0283818
aggregate,3,80211ax,5,20.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141933,9.2e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_20m_seed3.csv,1.0,0.999999999999849,1.0283866,0.0,1.0283866
aggregate,1,80211ax,5,30.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141925,9.3e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_30m_seed1.csv,1.0,0.9999999999990922,1.0283849999999999,0.0,1.0283849999999999
aggregate,2,80211ax,5,30.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141925,9.2e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_30m_seed2.csv,1.0,0.9999999999990922,1.0283849999999999,0.0,1.0283849999999999
aggregate,3,80211ax,5,30.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141929,9.8e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_30m_seed3.csv,1.0,0.9999999999984874,1.0283858000000001,0.0,1.0283858000000001
aggregate,1,80211ax,5,40.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141925,0.0001,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_40m_seed1.csv,1.0,0.9999999999928142,1.0283849999999999,0.0,1.0283849999999999
aggregate,2,80211ax,5,40.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141925,9.9e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_40m_seed2.csv,1.0,0.9999999999928142,1.0283849999999999,0.0,1.0283849999999999
aggregate,3,80211ax,5,40.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141923,0.000105,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_40m_seed3.csv,1.0,0.9999999999948562,1.0283846,0.0,1.0283846
aggregate,1,80211ax,5,50.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.14192,0.000103,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_50m_seed1.csv,1.0,0.9999999999954617,1.028384,0.0,1.028384
aggregate,2,80211ax,5,50.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141919,0.000102,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_50m_seed2.csv,1.0,0.99999999999531,1.0283837999999998,0.0,1.0283837999999998
aggregate,3,80211ax,5,50.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141919,0.000108,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_50m_seed3.csv,1.0,0.99999999999531,1.0283837999999998,0.0,1.0283837999999998
aggregate,1,80211ax,5,5.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141928,8.6e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_5m_seed1.csv,1.0,1.0,1.0283856,0.0,1.0283856
aggregate,2,80211ax,5,5.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141931,8.5e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_5m_seed2.csv,1.0,1.0,1.0283862,0.0,1.0283862
aggregate,3,80211ax,5,5.0,10.0,1024,0.5,20,friis,1Mbps,1024,5.0,-1,ALL_STA,10.1.1.6,4880,4880,0,1.0,5.141933,9.2e-05,project/results/raw/80211ax/friis/nodes_5/run_80211ax_friis_5nodes_5m_seed3.csv,1.0,0.999999999999849,1.0283866,0.0,1.0283866
aggregate,1,80211ax,50,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,100.0,-1,ALL_STA,10.1.1.51,97332,49777,47555,0.5114,55.282208,0.114785,project/results/raw/80211ax/friis/nodes_50/run_80211ax_friis_50nodes_10m_seed1.csv,2.0,0.6838281773588586,1.10564416,0.48860000000000003,0.55282208
aggregate,2,80211ax,50,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,100.0,-1,ALL_STA,10.1.1.51,97332,50026,47306,0.514,55.138432,0.11806,project/results/raw/80211ax/friis/nodes_50/run_80211ax_friis_50nodes_10m_seed2.csv,2.0,0.6891394744682862,1.10276864,0.486,0.55138432
aggregate,3,80211ax,50,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,100.0,-1,ALL_STA,10.1.1.51,97332,49350,47982,0.507,54.389186,0.122825,project/results/raw/80211ax/friis/nodes_50/run_80211ax_friis_50nodes_10m_seed3.csv,2.0,0.6784839201840503,1.08778372,0.493,0.54389186
aggregate,1,80211ax,50,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,100.0,-1,ALL_STA,10.1.1.51,97332,36922,60410,0.3793,38.965919,0.007129,project/results/raw/80211ax/friis/nodes_50/run_80211ax_friis_50nodes_20m_seed1.csv,2.0,0.3799976929596679,0.77931838,0.6207,0.38965919
aggregate,2,80211ax,50,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,100.0,-1,ALL_STA,10.1.1.51,97332,36807,60525,0.3782,38.959507,0.007616,project/results/raw/80211ax/friis/nodes_50/run_80211ax_friis_50nodes_20m_seed2.csv,2.0,0.37999711625189003,0.7791901400000001,0.6218,0.38959507000000004
aggregate,3,80211ax,50,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,100.0,-1,ALL_STA,10.1.1.51,97332,36868,60464,0.3788,38.913324,0.007127,project/results/raw/80211ax/friis/nodes_50/run_80211ax_friis_50nodes_20m_seed3.csv,2.0,0.3799863272849566,0.7782664800000001,0.6212,0.38913324000000005
aggregate,1,80211ax,50,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,100.0,-1,ALL_STA,10.1.1.51,97332,25346,71986,0.2604,26.704467,9.6e-05,project/results/raw/80211ax/friis/nodes_50/run_80211ax_friis_50nodes_30m_seed1.csv,2.0,0.2599998417467038,0.53408934,0.7396,0.26704467
