level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055645,0.000238,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055697,0.000252,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1951,1,0.9995,2.054631,0.000279,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1952,0,1.0,2.055656,0.000291,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1952,0,1.0,2.055677,0.000435,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1951,0,1.0,2.055611,0.000432,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1950,1,0.9995,2.054653,0.000146,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1950,1,0.9995,2.054654,0.000146,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1950,1,0.9995,2.054649,0.000164,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,2,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1948,2,0.999,2.053595,0.000166,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed2.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055705,0.00023,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055708,0.000269,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1952,0,1.0,2.055663,0.000272,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1951,1,0.9995,2.054607,0.000301,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1952,0,1.0,2.055598,0.00042,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1950,1,0.9995,2.054559,0.000459,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1949,2,0.999,2.053599,0.000159,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
flow,3,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1949,2,0.999,2.0536,0.000156,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed3.csv,2.0
